source,target,weight,author_channel_id,video_id,author_name
author::UC-HeUTT6_g-VoiWds2a4H-w,video::6W4u8sGEnGM,1,UC-HeUTT6_g-VoiWds2a4H-w,6W4u8sGEnGM,@JorgeMunoz-gd9et
author::UC-Iul5tDYH_oiAMXQH-KaaQ,video::6W4u8sGEnGM,1,UC-Iul5tDYH_oiAMXQH-KaaQ,6W4u8sGEnGM,@AlbertoMancilla-p9h
author::UC-QOpE7GOxlXcHZ8b7HbQKA,video::OkXlHx0hx-8,2,UC-QOpE7GOxlXcHZ8b7HbQKA,OkXlHx0hx-8,@mariaalexander427
author::UC-fiZBS5Gp1eCJd9ucgWnCg,video::j43HgwYFKfk,1,UC-fiZBS5Gp1eCJd9ucgWnCg,j43HgwYFKfk,@Tommii.10
author::UC-hfX8J5JPJ-dfuakzegMLA,video::n8iP75gIpmw,1,UC-hfX8J5JPJ-dfuakzegMLA,n8iP75gIpmw,@normaleticiaorozcojuarez2418
author::UC-jS_kA9w-OmpupXDx156Rg,video::n8iP75gIpmw,1,UC-jS_kA9w-OmpupXDx156Rg,n8iP75gIpmw,@simoncreyesc7579
author::UC-pNP6RMFuLg_-x7Ah_0kEA,video::n8iP75gIpmw,1,UC-pNP6RMFuLg_-x7Ah_0kEA,n8iP75gIpmw,@almacatalan2717
author::UC094EFEmMSdwVa8NQjjYBXg,video::b_Hkrkl3adA,1,UC094EFEmMSdwVa8NQjjYBXg,b_Hkrkl3adA,@CelestinoQuej-j7k
author::UC0HvfEWozTHbwl_iEmJNvVA,video::6W4u8sGEnGM,1,UC0HvfEWozTHbwl_iEmJNvVA,6W4u8sGEnGM,@OttoPalencia-b7r
author::UC0RpuMwkDKJYqgKHtsJRuWQ,video::lj983NWyAQY,1,UC0RpuMwkDKJYqgKHtsJRuWQ,lj983NWyAQY,@sabinamarinaguerra3248
author::UC0aEyakBPqcBkVJiErfSupQ,video::lj983NWyAQY,1,UC0aEyakBPqcBkVJiErfSupQ,lj983NWyAQY,@jhonymanuel9891
author::UC14qlobYKqD-DO0j6b75lcA,video::6W4u8sGEnGM,1,UC14qlobYKqD-DO0j6b75lcA,6W4u8sGEnGM,@megavision4488
author::UC1DpqK6vaPEkBOMNvypsKYg,video::j43HgwYFKfk,1,UC1DpqK6vaPEkBOMNvypsKYg,j43HgwYFKfk,@HectorCarranza-u4j4o
author::UC1NiEdJ7gk6FlDexIalWnGg,video::6W4u8sGEnGM,1,UC1NiEdJ7gk6FlDexIalWnGg,6W4u8sGEnGM,@BorisTebalán
author::UC1WlJfQmaIskYhP4gmWoamw,video::OkXlHx0hx-8,1,UC1WlJfQmaIskYhP4gmWoamw,OkXlHx0hx-8,@marthareiss5434
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,video::PjmxCj-a9Hg,1,UC1Y7x3h0c95Z8kUhi-Tzaeg,PjmxCj-a9Hg,@rosadiaz9235
author::UC1vr9aaMI2crB0NvwFHUeoQ,video::n8iP75gIpmw,1,UC1vr9aaMI2crB0NvwFHUeoQ,n8iP75gIpmw,@JoseSimilox-p6e
author::UC2Y_EHWQKevubk4vOEBBFxw,video::n8iP75gIpmw,1,UC2Y_EHWQKevubk4vOEBBFxw,n8iP75gIpmw,@alfonsomorales2653
author::UC2ngpd8UBQu4gcUYy0goAtg,video::06mFNPU0aB8,1,UC2ngpd8UBQu4gcUYy0goAtg,06mFNPU0aB8,@juliohernandez7438
author::UC2weSE8rpqkGMOp6StYtVfg,video::n8iP75gIpmw,1,UC2weSE8rpqkGMOp6StYtVfg,n8iP75gIpmw,@katerynsantiago2907
author::UC32oozucwCF3q8d4m8fyOUg,video::j43HgwYFKfk,1,UC32oozucwCF3q8d4m8fyOUg,j43HgwYFKfk,@RauldejesusOlivagonzalez
author::UC3E9mAgP7VoAE5mZoAexl5g,video::n8iP75gIpmw,1,UC3E9mAgP7VoAE5mZoAexl5g,n8iP75gIpmw,@EnnioAroche
author::UC3MYTqpQqlWBuCB7Th0e0PA,video::n8iP75gIpmw,1,UC3MYTqpQqlWBuCB7Th0e0PA,n8iP75gIpmw,@isaaclopez7220
author::UC3NMzdMYryaw82kPTnsaljg,video::n8iP75gIpmw,1,UC3NMzdMYryaw82kPTnsaljg,n8iP75gIpmw,@marisosa7832
