source,target,weight,source_label,target_label
UCbrtvygfRT6QXqWDNrOf-cA,UCvcu1kR8xMYy_I1Ty-2mV2Q,2,@Alejandro00710,@hashojea7348
UCpsKOkt5iWTbenzeuq7dsmQ,UCylqlpsh8ENNM1LqgQ1KbxA,2,@inge_vergueta,@Jel.Awesh.M
UC-HeUTT6_g-VoiWds2a4H-w,UC-Iul5tDYH_oiAMXQH-KaaQ,1,@JorgeMunoz-gd9et,@AlbertoMancilla-p9h
UC-HeUTT6_g-VoiWds2a4H-w,UC0HvfEWozTHbwl_iEmJNvVA,1,@JorgeMunoz-gd9et,@OttoPalencia-b7r
UC-HeUTT6_g-VoiWds2a4H-w,UC14qlobYKqD-DO0j6b75lcA,1,@JorgeMunoz-gd9et,@megavision4488
UC-HeUTT6_g-VoiWds2a4H-w,UC1NiEdJ7gk6FlDexIalWnGg,1,@JorgeMunoz-gd9et,@BorisTebalán
UC-HeUTT6_g-VoiWds2a4H-w,UC3YpzAr7pcdKC7BVFEpYzog,1,@JorgeMunoz-gd9et,@carmenfigueroa1232
UC-HeUTT6_g-VoiWds2a4H-w,UC63tFvbQ_hJhGDi2nbjssjw,1,@JorgeMunoz-gd9et,@AbigailRodas-w2r
UC-HeUTT6_g-VoiWds2a4H-w,UCEHXl4VvvVpq-_4xC5tsbhg,1,@JorgeMunoz-gd9et,@anibalg47
UC-HeUTT6_g-VoiWds2a4H-w,UCFybmWapGvBKcQod7cPPH9w,1,@JorgeMunoz-gd9et,@vitalianochavez8382
UC-HeUTT6_g-VoiWds2a4H-w,UCRfkkatKrNtAARnXMMYBGlA,1,@JorgeMunoz-gd9et,@BernerSoza-mg3vx
UC-HeUTT6_g-VoiWds2a4H-w,UCV3fr-YOixFKCZBbJP1-X4w,1,@JorgeMunoz-gd9et,@albertoshernandez5251
UC-HeUTT6_g-VoiWds2a4H-w,UCWaRixDdpgllTBf4V0jPnKQ,1,@JorgeMunoz-gd9et,@hectormaaz5523
UC-HeUTT6_g-VoiWds2a4H-w,UCWvntqPQx99k_Z_skWKqNSA,1,@JorgeMunoz-gd9et,@AntonioChiyal-x5s
UC-HeUTT6_g-VoiWds2a4H-w,UCZFQwqh90apuL8eFhvRBkUg,1,@JorgeMunoz-gd9et,@luisricardo9671
UC-HeUTT6_g-VoiWds2a4H-w,UCa36MjQLoPAmgJo-R3G8WQA,1,@JorgeMunoz-gd9et,@elsasalguero6914
UC-HeUTT6_g-VoiWds2a4H-w,UCaT4saRcyqCLE657Rq2hhZQ,1,@JorgeMunoz-gd9et,@elmilenial4064
UC-HeUTT6_g-VoiWds2a4H-w,UCeQk-WfEA-cJRq4EKeE7TOw,1,@JorgeMunoz-gd9et,@franciscojuarez9223
UC-HeUTT6_g-VoiWds2a4H-w,UCfo_yUPzy1f1POwwZxhZ06Q,1,@JorgeMunoz-gd9et,@lara11roberto
UC-HeUTT6_g-VoiWds2a4H-w,UCgGqw4aqMdMVSGkKiMgrJRQ,1,@JorgeMunoz-gd9et,@pattyfigueroa5609
UC-HeUTT6_g-VoiWds2a4H-w,UCheEJ5GZuIvV0fj-nXyVwXw,1,@JorgeMunoz-gd9et,@rosaoliva9389
UC-HeUTT6_g-VoiWds2a4H-w,UChyps3dqY-VY1_wLeq-2lhw,1,@JorgeMunoz-gd9et,@maydamorales4395
UC-HeUTT6_g-VoiWds2a4H-w,UCiOZX__1gahg1ypIj0_XG_w,1,@JorgeMunoz-gd9et,@mariogonzalezorellana8956
UC-HeUTT6_g-VoiWds2a4H-w,UCjZgFEowMBrsjodqfovzdKw,1,@JorgeMunoz-gd9et,@franciscoflores3120
UC-HeUTT6_g-VoiWds2a4H-w,UCoGdCoJg2Lh0OX_jv6cG16g,1,@JorgeMunoz-gd9et,@Israel-u5i7i
UC-HeUTT6_g-VoiWds2a4H-w,UCp29O_C7cchZV8IxV7Crdag,1,@JorgeMunoz-gd9et,@robertoescobar5507
UC-HeUTT6_g-VoiWds2a4H-w,UCql1n3Ey6ULMSOACjMe-fxQ,1,@JorgeMunoz-gd9et,@RolandoGonzalez-o7g
UC-HeUTT6_g-VoiWds2a4H-w,UCtCtts20bW6F9CSohau51Iw,1,@JorgeMunoz-gd9et,@carlosgranados9875
UC-HeUTT6_g-VoiWds2a4H-w,UCtsxPYw8VUsH_FfnKg-0lmw,1,@JorgeMunoz-gd9et,@AlejandroPérez-b6r
UC-HeUTT6_g-VoiWds2a4H-w,UCvDwJBBY1mHK70aTEYl6rsA,1,@JorgeMunoz-gd9et,@cristianescobedo8296
UC-HeUTT6_g-VoiWds2a4H-w,UCwxoKK59nGCeBqB2sXfDBIw,1,@JorgeMunoz-gd9et,@vic-bonivideos
UC-HeUTT6_g-VoiWds2a4H-w,UCyJhqmMbsvjpoarBBStA2kg,1,@JorgeMunoz-gd9et,@Murmullodelbarrio
UC-HeUTT6_g-VoiWds2a4H-w,UCzZ6dDCEsLMXbc5pCFXIprw,1,@JorgeMunoz-gd9et,@josegil3813
UC-Iul5tDYH_oiAMXQH-KaaQ,UC0HvfEWozTHbwl_iEmJNvVA,1,@AlbertoMancilla-p9h,@OttoPalencia-b7r
UC-Iul5tDYH_oiAMXQH-KaaQ,UC14qlobYKqD-DO0j6b75lcA,1,@AlbertoMancilla-p9h,@megavision4488
UC-Iul5tDYH_oiAMXQH-KaaQ,UC1NiEdJ7gk6FlDexIalWnGg,1,@AlbertoMancilla-p9h,@BorisTebalán
UC-Iul5tDYH_oiAMXQH-KaaQ,UC3YpzAr7pcdKC7BVFEpYzog,1,@AlbertoMancilla-p9h,@carmenfigueroa1232
UC-Iul5tDYH_oiAMXQH-KaaQ,UC63tFvbQ_hJhGDi2nbjssjw,1,@AlbertoMancilla-p9h,@AbigailRodas-w2r
UC-Iul5tDYH_oiAMXQH-KaaQ,UCEHXl4VvvVpq-_4xC5tsbhg,1,@AlbertoMancilla-p9h,@anibalg47
UC-Iul5tDYH_oiAMXQH-KaaQ,UCFybmWapGvBKcQod7cPPH9w,1,@AlbertoMancilla-p9h,@vitalianochavez8382
UC-Iul5tDYH_oiAMXQH-KaaQ,UCRfkkatKrNtAARnXMMYBGlA,1,@AlbertoMancilla-p9h,@BernerSoza-mg3vx
UC-Iul5tDYH_oiAMXQH-KaaQ,UCV3fr-YOixFKCZBbJP1-X4w,1,@AlbertoMancilla-p9h,@albertoshernandez5251
UC-Iul5tDYH_oiAMXQH-KaaQ,UCWaRixDdpgllTBf4V0jPnKQ,1,@AlbertoMancilla-p9h,@hectormaaz5523
UC-Iul5tDYH_oiAMXQH-KaaQ,UCWvntqPQx99k_Z_skWKqNSA,1,@AlbertoMancilla-p9h,@AntonioChiyal-x5s
UC-Iul5tDYH_oiAMXQH-KaaQ,UCZFQwqh90apuL8eFhvRBkUg,1,@AlbertoMancilla-p9h,@luisricardo9671
UC-Iul5tDYH_oiAMXQH-KaaQ,UCa36MjQLoPAmgJo-R3G8WQA,1,@AlbertoMancilla-p9h,@elsasalguero6914
UC-Iul5tDYH_oiAMXQH-KaaQ,UCaT4saRcyqCLE657Rq2hhZQ,1,@AlbertoMancilla-p9h,@elmilenial4064
UC-Iul5tDYH_oiAMXQH-KaaQ,UCeQk-WfEA-cJRq4EKeE7TOw,1,@AlbertoMancilla-p9h,@franciscojuarez9223
UC-Iul5tDYH_oiAMXQH-KaaQ,UCfo_yUPzy1f1POwwZxhZ06Q,1,@AlbertoMancilla-p9h,@lara11roberto
UC-Iul5tDYH_oiAMXQH-KaaQ,UCgGqw4aqMdMVSGkKiMgrJRQ,1,@AlbertoMancilla-p9h,@pattyfigueroa5609
UC-Iul5tDYH_oiAMXQH-KaaQ,UCheEJ5GZuIvV0fj-nXyVwXw,1,@AlbertoMancilla-p9h,@rosaoliva9389
UC-Iul5tDYH_oiAMXQH-KaaQ,UChyps3dqY-VY1_wLeq-2lhw,1,@AlbertoMancilla-p9h,@maydamorales4395
UC-Iul5tDYH_oiAMXQH-KaaQ,UCiOZX__1gahg1ypIj0_XG_w,1,@AlbertoMancilla-p9h,@mariogonzalezorellana8956
UC-Iul5tDYH_oiAMXQH-KaaQ,UCjZgFEowMBrsjodqfovzdKw,1,@AlbertoMancilla-p9h,@franciscoflores3120
UC-Iul5tDYH_oiAMXQH-KaaQ,UCoGdCoJg2Lh0OX_jv6cG16g,1,@AlbertoMancilla-p9h,@Israel-u5i7i
