author_channel_id,label,handle,comment_count,videos_commented,channels_commented,node_type,degree,strength
UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,/@inge_vergueta,3,3,1,author,183,184
UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,/@hashojea7348,4,3,1,author,28,29
UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,/@Jel.Awesh.M,3,2,1,author,174,175
UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,/@virgiliogarcia3039,3,2,2,author,145,145
UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,/@moisesvaldez4043,2,2,2,author,133,133
UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,/@MarcosCarillo-b1r,2,2,2,author,54,54
UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,/@josegil3813,2,2,1,author,49,49
UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,/@franciscoflores3120,2,2,2,author,43,43
UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,/@Alejandro00710,2,2,1,author,23,24
UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,/@ManuelEdran,5,1,1,author,127,127
UC9vMq1YF-e7C-VO0SHkbUTA,@ErvinLeonardoCarreraLatín,/@ErvinLeonardoCarreraLat%C3%ADn,4,1,1,author,127,127
UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,/@marioajset4283,3,1,1,author,127,127
UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,/@osmanmorales3012,3,1,1,author,127,127
UCFjudnPLoaSL1BaRuLahyHg,@HaroldoCastillo-rh9iw,/@HaroldoCastillo-rh9iw,3,1,1,author,127,127
UCh5ESQvtzyHDhCA7XyekCFA,@andyB5280,/@andyB5280,3,1,1,author,127,127
UChs3tU2BcKOT0CezykvAsGw,@byronpontaza,/@byronpontaza,3,1,1,author,127,127
UCHhHUjaMAZ8SiXdCUCj9DkQ,@fredymendez1786,/@fredymendez1786,2,1,1,author,127,127
UCL13XhnRzbGokEkCkEOb0-g,@raquelprado3643,/@raquelprado3643,2,1,1,author,127,127
UCLFdHr9BEbXHkoJopbEPLZw,@kanterra4584,/@kanterra4584,2,1,1,author,127,127
UCLggDc_a5HriXv7I1h02sOA,@guillermogonzalez5153,/@guillermogonzalez5153,2,1,1,author,127,127
UCNBnKqWf4d-rS4HwJRQljmQ,@LE_A22,/@LE_A22,2,1,1,author,127,127
UCOLGv5Pf6BF2wFcwUzgcvHg,@welfrealdana5559,/@welfrealdana5559,2,1,1,author,127,127
UCQ_-LPP8JAbfkc-b1Q6NvWw,@MegaKristenstewart,/@MegaKristenstewart,2,1,1,author,127,127
UCQtICyzWmhC5woCtbNgaSmg,@nestormendez6216,/@nestormendez6216,2,1,1,author,127,127
