comunidad,videos,canales,autores,comentarios,me gusta,respuestas,palabras frecuentes,bigramas,señales +,señales -,balance de tono
1,Qué rico come tu diputado,Quorum,125,161,358,3,"pueblo, dinero, diputados, trabajo, diputado, sueldo","nery rodas, busquen trabajo, paguen sueldo",30,49,-0.24050632911392406
2,La cooptación de Walter Mazari,Quorum,47,50,91,0,"usac, corruptos, universidad, estudiantes, excelente, información","pacto corruptos, reuniones virtuales, san carlos",14,17,-0.0967741935483871
3,Arroz con pollo a la MONOPOLIO | Internet: escoger el menos mal | Caminar en una ciudad hecha pa,Quorum,29,34,17,1,"excelente, empresas, internet, país, información, competencia","ley competencia, libre mercado, excelente video",21,5,0.6153846153846154
4,Inician los trabajos de recupe,Gobierno de la República de Guatemala,30,45,90,11,"presidente, años, guatemala, bernardo, arevalo, proyecto","presidente bernardo, bernardo arevalo, apoyo presidente",19,8,0.4074074074074074
5,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,25,25,1697,16,"guatemala, ciudad, saludos, viva, proyectos, tiempo","ciudad guatemala, guatemala saludos, viva guatemala",10,1,0.8181818181818182
6,EE.UU. envía a mexicanos depor,Noticias Telemundo,18,25,25,13,"pais, país, bueno, deportan, personas, mexicanos","you don, entraron ilegalmente, pais pertenesen",5,3,0.25
7,Conferencia de Prensa del Gobi,Gobierno de la República de Guatemala,18,25,20,4,"país, guatemala, presidente, personas, gobierno, maya","bla bla, tren maya, siii tanta",6,2,0.5
8,Capturan a presuntos delincuen,Noti7,13,14,12,1,"trabajo, vestido, mujer, faltar, cara, jóvenes","jóvenes buscan, buscan trabajo, trabajo tuvieron",2,0,1.0
9,Bloqueos en Guatemala este 31 ,PrensaLibreOficial,7,7,1,1,"asquerosos, gasolina, subira, guerra, países, guatemala","puro show, show diputranzas, diputranzas den",1,0,1.0
10,Capturan a ladrón que había qu,TN23 Guatemala,7,7,0,1,"comparator, enjuiciar, obgwtos, robados, humano, claro","enjuiciar comparator, comparator comparator, comparator obgwtos",0,1,-1.0
11,I’x K’at: el primer equipo gua,Quorum,4,4,8,0,"iniciativa, juego, excelente, deporte, dinamico, entretenido","excelente iniciativa, deporte dinamico, dinamico entretenido",2,0,1.0
12,10 Preguntas a un año del Paro,Quorum,3,3,4,0,"guatemala, cambia, dictadura, años, semilla, bernardo","guatemala cambia, cambia dictadura, dictadura años",0,1,-1.0
13,"Noticiero en Directo 1 pm, 28 ",Noticiero Guatevisión 13 Hrs.,2,2,0,0,"persona, encargada, ecosistema, ayude, problema, recuerdos","persona encargada, encargada ecosistema, ecosistema ayude",0,1,-1.0
14,Cruzando la ciudad a puro Tran,Quorum,1,1,0,0,"dice, subscribe, boletín, informativo, intenté, pagina","subscribe boletín, boletín informativo, informativo intenté",0,0,
15,Edén por Salud: empleo inclusi,Quorum,1,1,0,0,,,0,0,
16,SHAI WA: la vecina queer de Ca,Quorum,1,1,2,0,"gracias, video, importante, conocer, tipo, espacios","gracias video, video importante, importante conocer",2,0,1.0
17,¿Quiénes pagan más en Centroam,Quorum,1,1,0,0,wooow,,0,0,
