comment_id,video_id,author_channel_id,comunidad_video,comunidad_autor
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,2,10
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,8,8
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,2,2
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,2,2
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,6,6
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,6,6
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,3,3
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,1,1
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,5,5
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,1,1
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,UCZOmq6MwFDVoCaEl99BRRaw,3,3
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,4,4
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,1,1
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,UCWIZUtKJ636y-4TYrNvok0g,1,1
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,UCzoL2l5H5eVlorWGH8AZfAg,1,1
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,UCKVzDUqbtdSMBcexaEtMmzQ,11,11
Ugw74asIfir0_SVC6OB4AaABAg,j43HgwYFKfk,UCNpt5CQlTzNjlAKY6CJtClQ,2,2
Ugw86zOgTwKzYotlT9l4AaABAg,n8iP75gIpmw,UCut6b9S98nv84cVX89PmKzA,1,1
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,j43HgwYFKfk,UCQyOePccUP-fIJYzchAgZYw,2,2
Ugw8pyxscJNUQpfoKuF4AaABAg,n8iP75gIpmw,UCOLGv5Pf6BF2wFcwUzgcvHg,1,1
Ugw9_Qw_QaSdggWuKJt4AaABAg,06mFNPU0aB8,UCAxvOOHQk7dYPOajzFEVtbA,8,8
Ugw9eye2GML6RHRSu-14AaABAg,n8iP75gIpmw,UCQ_-LPP8JAbfkc-b1Q6NvWw,1,1
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,UCXmrpc6Li0spcKxtS0Q_ptg,5,5
UgwARHTnVAzzPrHbNox4AaABAg,n8iP75gIpmw,UCZ51R_9Q9C0c8I3pAWhtmjQ,1,1
UgwBIwUPLGxEWAu3Mh14AaABAg,X_FAIef8qlE,UCPLW0HE3siElqCgXfgWxMqg,14,14
UgwCW5PErySUmwse3bZ4AaABAg,OkXlHx0hx-8,UCxhtlxPV8AYWaNNyU6S9H8Q,6,6
UgwCfRlzeiXz172UQQV4AaABAg,yLZS3JiEBg8,UCvcu1kR8xMYy_I1Ty-2mV2Q,3,3
UgwCw9bhAw6suYQfCWx4AaABAg,j43HgwYFKfk,UCaKAjTW9MVub_clgr4DRYjQ,2,2
UgwEOUk-ofXNqkHW5Cx4AaABAg,n8iP75gIpmw,UCxff05WuyvwELNITi7bj7UA,1,1
UgwEQHx8Ik7SbxBTQ914AaABAg,n8iP75gIpmw,UCZLG9qH0tUjNhEGFIUt0CYw,1,1
UgwEjfj5ueeimHg-Hbt4AaABAg,j43HgwYFKfk,UCwgCc9Jd_gG-uLE_SY-FfPg,2,2
UgwG3XiEgFlHKtrtTqd4AaABAg,n8iP75gIpmw,UCXSkL3ejZ8qWYyF_M7s_QKA,1,1
UgwGm1V-_GN1ZPcijdl4AaABAg,n8iP75gIpmw,UChs3tU2BcKOT0CezykvAsGw,1,1
UgwHY5LtTiQ0lBONp8N4AaABAg,n8iP75gIpmw,UC6PvO1_k5lHKGdAPo5_C6TA,1,1
UgwIB06iEQnFOFLc9et4AaABAg,6W4u8sGEnGM,UCwxoKK59nGCeBqB2sXfDBIw,4,4
UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,6W4u8sGEnGM,UCWaRixDdpgllTBf4V0jPnKQ,4,4
UgwIBBqN6fh6MURkwkN4AaABAg,j43HgwYFKfk,UCkVtmkK07b2zaVVNssX4lOg,2,2
UgwIiqrp6EYNoFmnBAR4AaABAg,n8iP75gIpmw,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,1
UgwIlv8gtF3WKYfHSJJ4AaABAg,j43HgwYFKfk,UC95PSMouTx2N5CbSq0hIyrQ,2,2
UgwJ4UehO5E4j0niJU14AaABAg,n8iP75gIpmw,UCueV9cTyTDwgQSec1x2dYgA,1,1
UgwJMFYT7I9czw_oa0V4AaABAg,n8iP75gIpmw,UC5H8ASmMC9WrURmzeB4ySog,1,1
UgwJN55EmMcKPRb_AfB4AaABAg,n8iP75gIpmw,UCHhHUjaMAZ8SiXdCUCj9DkQ,1,1
UgwKjHT5lyjLiqR9ym94AaABAg,n8iP75gIpmw,UCgvw7xIdGFupzpt1Y_BFkEA,1,1
UgwL_UlN82zRUeNgVDh4AaABAg,j43HgwYFKfk,UCeDNEtI8_a42bZ47wJiJMwQ,2,2
UgwMfCTNaiukOxMqfON4AaABAg,6W4u8sGEnGM,UCiOZX__1gahg1ypIj0_XG_w,4,4
UgwNvErOoJ_qRYF6TB94AaABAg,j43HgwYFKfk,UCqCrvuoJpC-aVb0f4logQRQ,2,2
UgwO8kzHC551ofxNYCV4AaABAg,TT4qJ5FXHYE,UCld2stqxaVSk0QdGncM224A,11,11
UgwPCZZx2gI444cg2AV4AaABAg,n8iP75gIpmw,UCpIdtvoFHVLGASGB5ySqIEA,1,1
UgwRLgDGrh-_TEVNOYh4AaABAg,OkXlHx0hx-8,UCtiHFjFu7d5v2XxHnKFUYig,6,6
UgwSDn5aIUEZwOlx9c94AaABAg,zweosulrwA8,UCQM2tCKRRytVDRxNUfCDqQQ,15,15
UgwSt406Q1HWBWCewI14AaABAg,6W4u8sGEnGM,UCWvntqPQx99k_Z_skWKqNSA,4,4
UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik,6W4u8sGEnGM,UCoGdCoJg2Lh0OX_jv6cG16g,4,4
UgwTyYcT2aNvGA5DK4J4AaABAg,n8iP75gIpmw,UChgkn5Jt5tWKYMoEOuCjz3Q,1,1
UgwUZL4XYbr2lbEi1r94AaABAg,j43HgwYFKfk,UCiC-Jn7wdgyQV4_Urk0DkWQ,2,2
UgwXm2HjtCzRKiDHflJ4AaABAg,JkpVO1hx2f8,UCQIdKuZ-OzuFqy0KjGrgesg,12,12
UgwY0wdDJRzHsTCnLbN4AaABAg,n8iP75gIpmw,UCXr8_5WtGeipe4haOoQDgyQ,1,1
UgwY2FW-3sBGV2CGxaJ4AaABAg,06mFNPU0aB8,UC_3xuTXvMIWU5MYP9HkJ3vQ,8,8
UgwYTL5-XYvmQxsC3Bt4AaABAg,n8iP75gIpmw,UCFjudnPLoaSL1BaRuLahyHg,1,1
UgwYaHf9EYIl5Pf-y514AaABAg,n8iP75gIpmw,UC-pNP6RMFuLg_-x7Ah_0kEA,1,1
UgwZw9X6DpxCIJ6YkXZ4AaABAg,PjmxCj-a9Hg,UC1Y7x3h0c95Z8kUhi-Tzaeg,7,7
Ugw_g00Bv3m-cnSxhMp4AaABAg,OkXlHx0hx-8,UC1WlJfQmaIskYhP4gmWoamw,6,6
Ugw_wfk-1nUcdyG3muZ4AaABAg,n8iP75gIpmw,UC3MYTqpQqlWBuCB7Th0e0PA,1,1
UgwaGYcI3FekgL1PZct4AaABAg,j43HgwYFKfk,UCOcUI5XkTYNMSFhZNMIPpGg,2,2
UgwaokeDKlLgSdqHpW94AaABAg,n8iP75gIpmw,UCOS8ViEkccrTZx2w2ccxotA,1,1
Ugwbnz3tRoBa7Vs3A3d4AaABAg,b_Hkrkl3adA,UC3iIU62XKUOWuqL8BqBzj9A,9,9
Ugwc0TMrFYylioxh_Sh4AaABAg,6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,4,4
UgwcF8V3__81jxC8Eh14AaABAg,n8iP75gIpmw,UCmjppp6ujz3SAnULvP3sZMw,1,1
UgwdC_aDdYB1wpgGNAt4AaABAg,lj983NWyAQY,UC5PyGvSfFM--OVKmQ3COu6g,5,5
Ugwe0V0ssRP-r167Lzh4AaABAg,n8iP75gIpmw,UCQqetiwzzmRNTM5OWuXarGQ,1,1
UgwgSP2G2qKwGGl5CSp4AaABAg,6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,4,4
UgwgoKatyznihVvDVVd4AaABAg,n8iP75gIpmw,UCCaYwkkbQGcvFoUmothVdQQ,1,1
UgwguqWom06c5opgpiF4AaABAg,n8iP75gIpmw,UCQgYjVngJRfPHDLGB5X6ZjA,1,1
UgwhphOY9n46ofElDut4AaABAg,PjmxCj-a9Hg,UCN2N_wYOw6fMwCeSzdXLPIw,7,7
UgwiGxmosawIyTVTjnB4AaABAg,n8iP75gIpmw,UC9vMq1YF-e7C-VO0SHkbUTA,1,1
Ugwih8O9PeaJ_zd7FWV4AaABAg,n8iP75gIpmw,UC8F2V63KZ4ZEay6opX2hAQw,1,1
Ugwije36G_n35mshRfp4AaABAg,6W4u8sGEnGM,UCheEJ5GZuIvV0fj-nXyVwXw,4,4
UgwjKxflp7TiD0e7_494AaABAg,n8iP75gIpmw,UCujPF2nBgsTD62nWE3lcpIg,1,1
Ugwjtq_DUb6ISU-ppsh4AaABAg,n8iP75gIpmw,UChs3tU2BcKOT0CezykvAsGw,1,1
UgwkiP4fW1xfpXbZcV14AaABAg,n8iP75gIpmw,UCV0iizTBoOfdAFX_thfI9BA,1,1
Ugwm9VajlW3ydbsf-BJ4AaABAg,6W4u8sGEnGM,UCp29O_C7cchZV8IxV7Crdag,4,4
UgwmvtMMEFg5rWbrmtV4AaABAg,yLZS3JiEBg8,UCkxdJ_yGN2gghOMo2ybQtXQ,3,3
UgwnCwptihjhFCfQK_l4AaABAg,6W4u8sGEnGM,UCjZgFEowMBrsjodqfovzdKw,4,8
UgwopmNYOXxE5kyT7fF4AaABAg,n8iP75gIpmw,UC4wq3DcbfaG6dtCqn8Oyu3w,1,1
UgwovhZaCiV0r6XOH_R4AaABAg,ndAZjHqzzT8,UCVC2QugcI1G4RvlCiUqd1aQ,3,3
UgwoyDvqZ6NlBCvXB7t4AaABAg,yLZS3JiEBg8,UCXVLc8CmAO813ubM-fLvCDw,3,3
Ugwp1SacIqA0qS_netd4AaABAg,n8iP75gIpmw,UCwW2OFy95P7ZBkOPxWkpvYg,1,1
UgwpY9PE_PBfwa2_g_N4AaABAg,n8iP75gIpmw,UC3XTwHxygNCgjndsg-UiCQA,1,1
Ugwqsca_nj4eGguiyTJ4AaABAg,j43HgwYFKfk,UCgQw_Sbq3ugruDUKsq1e0-A,2,2
UgwrIvqGid-S983oU9J4AaABAg,n8iP75gIpmw,UCL13XhnRzbGokEkCkEOb0-g,1,1
UgwsCWap2Jq1pNrLOWl4AaABAg,n8iP75gIpmw,UCQtSFINs1h6GHkpg9o5kMvg,1,1
UgwtcR5U0FAkeZsiVVt4AaABAg,06mFNPU0aB8,UC2ngpd8UBQu4gcUYy0goAtg,8,8
Ugwvm2HYh08HI1HkcXV4AaABAg,PjmxCj-a9Hg,UC7IMsCxfZyWN7YQo8-JYa6Q,7,7
UgwvvK1L0aLOhCMUzfN4AaABAg,n8iP75gIpmw,UCzSfZlOVxBSs5ObD25ywxDQ,1,1
UgwwH4OIcVCCN6SbBX14AaABAg,n8iP75gIpmw,UCLFdHr9BEbXHkoJopbEPLZw,1,1
UgwwKfLmhHVU-Oxzqtl4AaABAg,n8iP75gIpmw,UCNkcuy42zEwddwEcOd_HpnA,1,1
UgwwPrhCy2levkb6TRd4AaABAg,ndAZjHqzzT8,UCJp3OrVYcBorC94sKwdch_A,3,3
UgwxjmtBoAozs0ZUAcd4AaABAg,is3Mk5oC19g,UCdFlugHJJa4l3YqWuNRmvXw,10,10
UgwxjmtBoAozs0ZUAcd4AaABAg.AaAbqoGVGipAaAjNG9oPRN,is3Mk5oC19g,UCLh1Kde4_vI1sTZBkTNP7RQ,10,10
UgwypjUeZBU45DrrW0d4AaABAg,n8iP75gIpmw,UCThW2XNsAaBKme5PUt7n-Zg,1,1
Ugwz_6qtdDTbTWEUQQ94AaABAg,n8iP75gIpmw,UC6YSZqL0vEcI-niPKIMUGfw,1,1
Ugx-G2kCu5aSwh3IR5l4AaABAg,n8iP75gIpmw,UCNBnKqWf4d-rS4HwJRQljmQ,1,1
Ugx-cQ3Wf3whk_hssDR4AaABAg,06mFNPU0aB8,UCO0zwwLWGyDgQmWPJ5Qrr1w,8,8
Ugx-hH6Ysw9sdv3kHPN4AaABAg,j43HgwYFKfk,UCwjUvRseNtJoItylIyIez7Q,2,2
Ugx1reCoIQcnK3ii2GR4AaABAg,n8iP75gIpmw,UCTwSut16JyAg3mX6LVUNGqA,1,1
Ugx2ApaAMqe4ca4SCYx4AaABAg,n8iP75gIpmw,UCLggDc_a5HriXv7I1h02sOA,1,1
Ugx2LwWBVc3mFGJAinB4AaABAg,n8iP75gIpmw,UC5H8ASmMC9WrURmzeB4ySog,1,1
Ugx2byJzZBZkDMQMUqV4AaABAg,n8iP75gIpmw,UCwO2SXr0ggzwg6QWWrr01nQ,1,1
Ugx3uDgmZQhx3Z3VOzt4AaABAg,j43HgwYFKfk,UC816IGbFCZinfYS1LRDaaHg,2,2
Ugx3yIUZXGeiOVESIEl4AaABAg,n8iP75gIpmw,UC3qn1yJA5PeW9rkGPatQxiw,1,1
Ugx4dn4xlUl9Jp9QJeJ4AaABAg,6W4u8sGEnGM,UCaT4saRcyqCLE657Rq2hhZQ,4,4
Ugx6Wjc02tqpQUBf4NJ4AaABAg,yLZS3JiEBg8,UCc_F88PzGWtA1OPNUEASulA,3,3
Ugx74OPnWkWaFjpFuA94AaABAg,n8iP75gIpmw,UCErZPJpHmLCsXs8ZWkAUupQ,1,1
Ugx74OPnWkWaFjpFuA94AaABAg.A7ki-1ED5b2A7nIcG2_svP,n8iP75gIpmw,UCFjudnPLoaSL1BaRuLahyHg,1,1
Ugx7Gvgflw7nQKqoR094AaABAg,lj983NWyAQY,UCFOxCyF926Y9eHhMeVoWLzw,5,5
Ugx7ezRwB-DpY3VQt754AaABAg,n8iP75gIpmw,UC5H8ASmMC9WrURmzeB4ySog,1,1
Ugx7j6oWhgfonHPJCdR4AaABAg,n8iP75gIpmw,UC72gBAtyb_VXQlYDcFrh6oQ,1,1
Ugx8FxDKPAY-M_JhRgd4AaABAg,n8iP75gIpmw,UCi1b_TRQfgO1Z9O2gNGGWNA,1,1
Ugx8vuWdqsWZslsS9R14AaABAg,WIUZtitfLRw,UCvcu1kR8xMYy_I1Ty-2mV2Q,3,3
Ugx90cmhNaRBNDou1BR4AaABAg,OkXlHx0hx-8,UCBlm80VQ4YoV3bUJR_XhkaQ,6,6
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaBaWPRQg7K,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,6,6
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCnVqXU5cy,OkXlHx0hx-8,UCBlm80VQ4YoV3bUJR_XhkaQ,6,6
Ugx90cmhNaRBNDou1BR4AaABAg.AaA5Ej9IqgQAaCz3GqqPAJ,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,6,6
UgxCKgaQSm13r2z9hFd4AaABAg,j43HgwYFKfk,UColMq7LmaoY3MT6aIDGrGvA,2,2
UgxCT5F3jO763e2aO-t4AaABAg,OkXlHx0hx-8,UCat2qkYvqmtDNEmo2PVuhXw,6,6
UgxCjFHfuFk1jUGvoIB4AaABAg,lj983NWyAQY,UCSTAUWVc1_82DHYeqOsqEFA,5,5
UgxD16VX3BhREOtsuhJ4AaABAg,yLZS3JiEBg8,UCcFIBN-rtC3d3hXeuN5TfWw,3,3
UgxDBhcq11EK83DqrSZ4AaABAg,j43HgwYFKfk,UCV0lM03g5fg5pbPj97-sAtA,2,2
UgxDFo35bUo0APtZcd94AaABAg,lj983NWyAQY,UC_ljZ1hZXR9pzexFz87P5ZA,5,5
UgxEE17R1iQyuDZebVF4AaABAg,06mFNPU0aB8,UCLXYp1Cvc5DLtq5UQL5D9vw,8,8
UgxEE17R1iQyuDZebVF4AaABAg.A_UFk_pMAbMA_VZ_0Vdu89,06mFNPU0aB8,UCfjhejO7LZy4doXURa7LZCQ,8,8
UgxE_8DGgJmaHaV_WLJ4AaABAg,n8iP75gIpmw,UCplrIQtaPj6au60_f2-mOYw,1,1
UgxEsAK7q3l34wFdZ414AaABAg,6W4u8sGEnGM,UCql1n3Ey6ULMSOACjMe-fxQ,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zKDdWQaaO,6W4u8sGEnGM,UCZFQwqh90apuL8eFhvRBkUg,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zMcZPgoSk,6W4u8sGEnGM,UCoGdCoJg2Lh0OX_jv6cG16g,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zX0eQk5DZ,6W4u8sGEnGM,UCyJhqmMbsvjpoarBBStA2kg,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXHoAX3hj,6W4u8sGEnGM,UCyJhqmMbsvjpoarBBStA2kg,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_zXUuRIq0q,6W4u8sGEnGM,UCyJhqmMbsvjpoarBBStA2kg,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_znUL05zze,6W4u8sGEnGM,UC63tFvbQ_hJhGDi2nbjssjw,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0q77b9a3F,6W4u8sGEnGM,UCtCtts20bW6F9CSohau51Iw,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa0qEPC8tJc,6W4u8sGEnGM,UCtCtts20bW6F9CSohau51Iw,4,4
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajAa41uU3Anhg,6W4u8sGEnGM,UCWaRixDdpgllTBf4V0jPnKQ,4,4
UgxFOJmnMHqi2dpDaZd4AaABAg,n8iP75gIpmw,UCcfdg8crmMJwEuLUsAhV7yg,1,1
UgxFzCyhju6zPSl4zwZ4AaABAg,j43HgwYFKfk,UC6Uj1FT5JjDSF8vudvDxPAA,2,2
UgxHqBlwo8Dpvv-2P5d4AaABAg,n8iP75gIpmw,UCj-LL25XJnjxepPKCc3NGog,1,1
UgxJQfg5iHA6vRWS0El4AaABAg,j43HgwYFKfk,UC1DpqK6vaPEkBOMNvypsKYg,2,2
UgxK5IJwWigmJ56Xp7p4AaABAg,ndAZjHqzzT8,UCpsKOkt5iWTbenzeuq7dsmQ,3,3
UgxKfM_nJMsGTkKkM8V4AaABAg,n8iP75gIpmw,UCDftMWXQoJ6nONfY7GVOVjg,1,1
UgxLNf6Xy3xngPFLs594AaABAg,n8iP75gIpmw,UCYwpX26TrCxq8TvbKGRYLXA,1,1
UgxLSZD8ZrNFmd10RKR4AaABAg,n8iP75gIpmw,UCUIIIPTVDVHAXqhC_5V6lPA,1,1
UgxNSGVebHMGSFI8zX94AaABAg,6W4u8sGEnGM,UCzZ6dDCEsLMXbc5pCFXIprw,4,7
UgxNgFkGSE6nct4PF3V4AaABAg,PjmxCj-a9Hg,UCNIeXbV_mEwpa412h1aqUWw,7,7
UgxOO0LIkZP1WvhR1U54AaABAg,ndAZjHqzzT8,UC_6KbBY1bsYXz9fwFS0eQRg,3,3
UgxPHo503SIH-EmlR-t4AaABAg,6W4u8sGEnGM,UCV3fr-YOixFKCZBbJP1-X4w,4,4
UgxPRaGm9MdlK4U6VPt4AaABAg,n8iP75gIpmw,UCDQaQv0hr2SS_PO-CMEwVHg,1,1
UgxQC-ejR063rkAb1VB4AaABAg,yLZS3JiEBg8,UCefAH1MbvADWUjE9WVcB9EQ,3,3
