node_id,node_type,raw_id,label,comunidad
author::UC-HeUTT6_g-VoiWds2a4H-w,author,UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,4
author::UC-Iul5tDYH_oiAMXQH-KaaQ,author,UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,4
author::UC-QOpE7GOxlXcHZ8b7HbQKA,author,UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,6
author::UC-fiZBS5Gp1eCJd9ucgWnCg,author,UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,2
author::UC-hfX8J5JPJ-dfuakzegMLA,author,UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,1
author::UC-jS_kA9w-OmpupXDx156Rg,author,UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,1
author::UC-pNP6RMFuLg_-x7Ah_0kEA,author,UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,1
author::UC094EFEmMSdwVa8NQjjYBXg,author,UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,9
author::UC0HvfEWozTHbwl_iEmJNvVA,author,UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,4
author::UC0RpuMwkDKJYqgKHtsJRuWQ,author,UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,5
author::UC0aEyakBPqcBkVJiErfSupQ,author,UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,5
author::UC14qlobYKqD-DO0j6b75lcA,author,UC14qlobYKqD-DO0j6b75lcA,@megavision4488,4
author::UC1DpqK6vaPEkBOMNvypsKYg,author,UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,2
author::UC1NiEdJ7gk6FlDexIalWnGg,author,UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,4
author::UC1WlJfQmaIskYhP4gmWoamw,author,UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,6
