node_id,label,comment_count,videos_commented,channels_commented,betweenness,pagerank,articulacion
author::UC-HeUTT6_g-VoiWds2a4H-w,@JorgeMunoz-gd9et,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC-Iul5tDYH_oiAMXQH-KaaQ,@AlbertoMancilla-p9h,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC-QOpE7GOxlXcHZ8b7HbQKA,@mariaalexander427,2,1.0,1.0,0.0,0.0021339647774481214,False
author::UC-fiZBS5Gp1eCJd9ucgWnCg,@Tommii.10,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC-hfX8J5JPJ-dfuakzegMLA,@normaleticiaorozcojuarez2418,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC-jS_kA9w-OmpupXDx156Rg,@simoncreyesc7579,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC-pNP6RMFuLg_-x7Ah_0kEA,@almacatalan2717,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC094EFEmMSdwVa8NQjjYBXg,@CelestinoQuej-j7k,1,1.0,1.0,0.0,0.001594478004275582,False
author::UC0HvfEWozTHbwl_iEmJNvVA,@OttoPalencia-b7r,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC0RpuMwkDKJYqgKHtsJRuWQ,@sabinamarinaguerra3248,1,1.0,1.0,0.0,0.0015921333404745244,False
author::UC0aEyakBPqcBkVJiErfSupQ,@jhonymanuel9891,1,1.0,1.0,0.0,0.0015921333404745244,False
author::UC14qlobYKqD-DO0j6b75lcA,@megavision4488,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC1DpqK6vaPEkBOMNvypsKYg,@HectorCarranza-u4j4o,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC1NiEdJ7gk6FlDexIalWnGg,@BorisTebalán,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC1WlJfQmaIskYhP4gmWoamw,@marthareiss5434,1,1.0,1.0,0.0,0.0012806576023992745,False
author::UC1Y7x3h0c95Z8kUhi-Tzaeg,@rosadiaz9235,1,1.0,1.0,0.0,0.0012735810348890395,False
author::UC1vr9aaMI2crB0NvwFHUeoQ,@JoseSimilox-p6e,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC2Y_EHWQKevubk4vOEBBFxw,@alfonsomorales2653,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC2ngpd8UBQu4gcUYy0goAtg,@juliohernandez7438,1,1.0,1.0,0.0,0.0014900677837631294,False
author::UC2weSE8rpqkGMOp6StYtVfg,@katerynsantiago2907,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC32oozucwCF3q8d4m8fyOUg,@RauldejesusOlivagonzalez,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC3E9mAgP7VoAE5mZoAexl5g,@EnnioAroche,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC3MYTqpQqlWBuCB7Th0e0PA,@isaaclopez7220,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC3NMzdMYryaw82kPTnsaljg,@marisosa7832,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC3UVO7pTbeYvZ3ILEyRDskQ,@rosaelenaargueta79,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC3XTwHxygNCgjndsg-UiCQA,@marioajset4283,3,1.0,1.0,0.0,0.0030759504354549907,False
author::UC3YpzAr7pcdKC7BVFEpYzog,@carmenfigueroa1232,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC3iIU62XKUOWuqL8BqBzj9A,@antonioduarte2288,1,1.0,1.0,0.0,0.001594478004275582,False
author::UC3qn1yJA5PeW9rkGPatQxiw,@VICTOREST19,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC4Avya4kmR4Q0FrfFdBozSQ,@davidlima1348,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC4cXueR2bKGFJV0Fk76gwmA,@aluxdel4792,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC4kg7zuTfqQKLd2bkZrSYBA,@zoilagarcia9019,1,1.0,1.0,0.0,0.0016244245455000741,False
author::UC4wq3DcbfaG6dtCqn8Oyu3w,@hugoasencio7764,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC5H8ASmMC9WrURmzeB4ySog,@ManuelEdran,5,1.0,1.0,0.0,0.004841683774191366,False
author::UC5PrBbmUlQolwqmiru7yZhw,@lazarochavez8269,1,1.0,1.0,0.0,0.001594478004275582,False
author::UC5PyGvSfFM--OVKmQ3COu6g,@FreddyGmez,1,1.0,1.0,0.0,0.0015921333404745244,False
author::UC5bG9nc_JV3FsNP2KseQiYw,@giovannirodas4836,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC5fvhAfm89JH8eDFdvc0xYw,@isaidiaz2388,1,1.0,1.0,0.0,0.0015921333404745244,False
author::UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,1,1.0,1.0,0.0,0.0013678165077211386,False
author::UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,1,1.0,1.0,0.0,0.0012314659094801786,False
author::UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,1,1.0,1.0,0.0,0.002849002849002849,False
author::UC72gBAtyb_VXQlYDcFrh6oQ,@osmanmorales3012,3,1.0,1.0,0.0,0.0030759504354549907,False
author::UC7IMsCxfZyWN7YQo8-JYa6Q,@Burgos68,2,1.0,1.0,0.0,0.0021198116424276515,False
author::UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,1,1.0,1.0,0.0,0.0015012876402744307,False
author::UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,1,1.0,1.0,0.0,0.0013102170967186151,False
author::UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,1,1.0,1.0,0.0,0.0013102170967186151,False
