node_id,label,betweenness,articulacion,rol
author::UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,0.23158411788784283,True,autor_puente
author::UCylqlpsh8ENNM1LqgQ1KbxA,@Jel.Awesh.M,0.17830536225951701,False,autor_puente
author::UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,0.17683176422431438,True,autor_puente
author::UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,0.128923454768727,True,autor_puente
author::UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,0.09200163733115023,True,autor_puente
author::UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,0.05789602947196071,True,autor_puente
author::UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,0.03186246418338109,True,autor_puente
author::UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,0.03186246418338109,True,autor_puente
author::UCbrtvygfRT6QXqWDNrOf-cA,@Alejandro00710,0.0,False,autor_puente
video::n8iP75gIpmw,Qué rico come tu diputado,0.5654359394187475,True,video_articulador
video::j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,0.22773638968481377,True,video_articulador
video::6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,0.187621776504298,True,video_articulador
video::PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,0.24402783462955385,True,video_articulador
video::yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,0.06361031518624642,True,video_articulador
video::06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,0.05471960704052395,True,video_articulador
video::ndAZjHqzzT8,Internet: escoger el menos malo,0.1283503888661482,True,video_articulador
video::is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,0.0276545231273025,True,video_articulador
video::b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,0.0276545231273025,True,video_articulador
video::WIUZtitfLRw,Caminar en una ciudad hecha para carros,0.023086369218174377,True,video_articulador
