video_id,video_title,channel_name,comentarios,con_señal,score_medio,positivos,negativos
n8iP75gIpmw,Qué rico come tu diputado,Quorum,161,125,-0.45803492063492063,26,74
j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,Quorum,50,37,0.2637387387387387,15,13
6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,45,38,0.8147295321637427,22,8
lj983NWyAQY,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,25,20,1.5430555555555556,17,0
PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,25,19,0.2418859649122807,8,6
OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,25,15,0.23333333333333334,7,6
yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,Quorum,16,11,0.681267217630854,5,4
06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,14,8,0.59375,4,4
ndAZjHqzzT8,Internet: escoger el menos malo,Quorum,12,10,0.9321428571428572,5,2
is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,7,2,-0.75,0,1
b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,7,6,-0.5944444444444444,1,3
WIUZtitfLRw,Caminar en una ciudad hecha para carros,Quorum,6,6,0.875,3,1
TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,4,3,1.5333333333333332,2,1
JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,Quorum,3,3,1.0,2,1
3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,2,2,-1.5,0,2
X_FAIef8qlE,Cruzando la ciudad a puro Transmetro,Quorum,1,1,-1.0,0,1
UhL9y3KUl8E,SHAI WA: la vecina queer de Casa Presidencial,Quorum,1,1,2.0,1,0
s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,Quorum,1,0,,0,0
zweosulrwA8,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,1,0,,0,0
